id,name,address,city,latitude,longitude,phone,services,image_url,source_url,scraped_at
340,Şirvan,"Şirvan şəhəri, Heydər Əliyev prospekti, AZ 1801",Şirvan,39.95408,48.93597,(021) 215-04-24,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_a9082adb68.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
343,İmişli,"İmişli rayonu, Qaradonlu kəndi, AZ 3022",İmişli,39.79006,48.06724,(021) 243-86-58,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_33f3ee8d60.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
346,Mingəçevir,"Yevlax rayonu, Mingəçevir şəhəri, Gəncə şossesi 7, AZ 4500",Yevlax,40.77045,47.03261,(024) 278-26-00,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; Motel; YDM,https://qnela1.azpetrol.com/uploads/image_5cb7bd32b8.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
349,Lənkəran,"Lənkəran rayonu, Lənkəran şəhəri, Digah, AZ 4243",Lənkəran,38.77317,48.82861,(025) 253-27-42,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_3623067502.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
352,Bakixanov,"Bakı şəhəri, Nizami rayonu, Rüstəm Rüstəmov küçəsi ev 2524-cü məhəllə, AZ 1118",Bakı,40.41376,49.95193,(012) 520-69-27,Avtomarket; Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_df5e3742f8.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
355,Balakən,"Balakən rayonu, Balakən şəhəri, Heydər Əliyev prospekti, AZ 0800",Balakən,41.70304,46.4282,(024) 295-53-13,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; Motel; YDM,https://qnela1.azpetrol.com/uploads/image_1af1670c7f.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
358,Qusar-SDK,"Qusar rayonu, Samur ŞTQ, AZ 3831",Qusar,41.44162,48.46449,(023) 389-03-01,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; Motel; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_9db29a7c37.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
361,Astara,"Astara rayonu, Astara şəhəri, Heydər Əliyev prospekti 24, AZ 0701",Astara,38.47304,48.86873,(025) 225-41-99,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_5ecb7a32d6.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
364,Bərdə,"Bərdə rayonu, Bərdə şəhəri, Bakı küçəsi, AZ 0900",Bərdə,40.37563,47.13492,(020) 205-85-91,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_16e8b028a0.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
367,Gəncə,"Gəncə şəhəri, Nəriman Nərimanov prospekti, Bakı-Gəncə şossesi, AZ 2002",Gəncə,40.68478,46.40501,(022) 268-37-00,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_d4d2f2bf71.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
